Department,Major,Degree,School,Course Title,Course Description,Cost
Police,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),HOOD COLLEGE,MGMT 562- FINANCIAL & MANAGERIAL ACCOUNTING,"Prerequisite: ECON 560, MGMT 560 and MGMT 553, or its equivalent. (Either semester/3 credits) This course extensively examines the use of accounting information for decision-making. Descriptions and cases of actual financial and managerial accounting practices in real-world business, governmental and not-for-profit organizations will introduce students to traditional and emerging practices in accounting. Students will also evaluate the impact that various accounting methods have on the financial statements of an entity.",1335
Finance,Computer Science,AA,Montgomery College Rockville Campus,COMPUTER USE AND MANAGEMENT,"An introduction to computers, operating systems,and internet basics. Topics indlude file and hard drive, managemen, customizing the windows enviroment, transfering data between applications, installing and running hardware and software..",168
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,LONG-TERM CARE ADMINSTRATION,"A study of the different components of the long-term-care service delivery system. Topics include residential settings (such as skilled nursing facilities, assisted living facilities, and continuing care retirement communities), home care services, community-based service programs, and hospice care. The goal is to apply contemporary management theory, concepts, and models to the entities that make up the long-term-care service delivery system. Specialized case studies are used to supplement course materials and examine best practices for fostering performance excellence.",1374
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,PUBLIC HEALTH ADMINISTRATION,"An in-depth study of the field of public health, emphasizing leadership and management. The current U.S. public health system is analyzed, focusing on federal, state, and local public health entities and their management issues. Connections and relationships between the system of public health and the private personal health services market are also analyzed. Topics include the history and current status of public health, core functions, legislation, ethics, accountability (including assessment and evaluation), and the politics and financing of public health, particularly in light of the increased utilization of evidence-based budgeting. Contact with a public health agency in order to analyze a public health program or policy may augment text and lecture presentation.",456
Health & Human Services,Social Work,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,SOCIAL WORK W/ADDICTIVE BEHAVIORS,"Concepts of addiction as it relates to alcohol and other drugs. Basic information concerning selected drugs. Current approaches to counseling the chemically dependent client and/or family member. The role of relevant systems with emphasis on the family, community, and the workplace, and on how the addictive behavior affects these systems.",915
Health & Human Services,None,Non-Degree,CORNELL UNIVERSITY,INTERNAL INVESTIGATION NOTE-TAKING AND REPORTS,"This workshop focuses on developing documentation related to investigation, writing effective investigation reports, and addressing credibility.",1270.75
Health & Human Services,Social Work,Masters (MA/MS/MPH/etc.),SALISBURY UNIVERSITY,PSYCHOPATHOLOGY,"Provides extensive knowledge of the major forms of mental illness and their treatment. Develops competence in multi-axial assessment by mastering the accepted diagnostic code, DM-IV TR. Provides skills in development of appropriate and contemporary treatment plans. Explores the factors associated with mental illness such as age, reace, ethinicty and gender.",1200
Health & Human Services,None,Non-Degree,THE CENTER FOR ALTERNATIVE DISPUTE RESOLUTION,LABOR LAW AND LABOR ARBITRATION COFERENCE,various workshop concerning mediation and alternative dispute resolutions for adr practitioners.,300
Fire/Rescue Services,Accounting (Business),AA,Harrisburg Area Community College - Harrisburg,PROFESSIONAL BOOKKEEPING,"Completing adjusting entries for accruals and deferrals and using the adjusted trial balance to prepare financial statements. Entries for depreciation, payroll, and inventory (using various methods and in compliance with legal requirements) are covered. The design and implementation of procedures to protect businesses against fraud are emphasized.",459
Fire/Rescue Services,Accounting (Business),AA,Harrisburg Area Community College - Harrisburg,MACRO ECONOMICS,"Structure, operation, and performance of the American economy. The course includes the market system, national income, employment, inflation, economic growth, business cycles, fiscal policy, money, monetary policy, and international economics. (Core B)",459
Fire/Rescue Services,Accounting (Business),AA,Harrisburg Area Community College - Harrisburg,PRINC MANAGEMENT,"Introduces students to the primary functions of management and management theory. This course covers the knowledge and skills needed for planning, organizing, leading, and controlling modern organizations. Students are able to discuss current events and issues - ethics and social responsibility, organizational culture, global management, and technology - and the impact experienced by managers and management",459
Health & Human Services,Psychology,AA,MONTGOMERY COMMUNITY COLLEGE,SOCIOLOGY 101,"An exploration of fundamental sociological concepts, methods, and theories used to interpret the patterns of human society. Emphasis is placed on the connection between theory and practice in examining social interaction, cultural diversity, social structure, and global issues.",336
Health & Human Services,General Studies,Other,NORTHERN VIRGINIA COMMUNITY COLLEGE,HIS 101 - HISTORY OF WESTERN CIVILIZATION I,Examines the development of estern civilization form ancient times to the present. The first semester ends withthe 17th century; the second semester continues through modern times.,429.45
Health & Human Services,Psychology,AA,MONTGOMERY COMMUNITY COLLEGE,HUMAN COMMUNICATIONS,"A survey course that covers communication theory and develops communication skills for personal and professional relationships in interpersonal, group, and public settings. Course content includes practice in the application of the principles of listening, verbal and nonverbal communication, group dynamics, and public speaking.",336
